"Benchmark File","Input Size","RBS-ruby-141216.150957","RBS-ruby-141216.165707","RBS-ruby-141216.184041","RBS-ruby-141216.202741","RBS-ruby-141216.221503","RBS-ruby-141217.000149","RBS-ruby-141217.014822","RBS-ruby-141217.033458","RBS-ruby-141217.052815","RBS-ruby-141217.072151","RBS-ruby-141217.091533","RBS-ruby-141217.111100"
"micro-benchmarks/bm_so_object.rb",500000,1.897589521,1.932115026,1.765169694,1.771081695,1.852454131,1.785778737,1.818349458,1.849972946,1.790927798,1.874933833,1.82004629,1.843076107
"micro-benchmarks/bm_so_object.rb",1000000,3.803203458,3.854570485,3.518641547,3.519292784,3.649824136,3.577926555,3.634281075,3.687543101,3.588192706,3.728922399,3.647110979,3.678365412
"micro-benchmarks/bm_so_object.rb",1500000,5.707794325,5.757127292,5.326431499,5.288876337,5.516271995,5.365875216,5.458540813,5.521055365,5.419151105,5.605241477,5.482168826,5.506644087
"micro-benchmarks/bm_so_sieve.rb",4000,33.253463938,33.389600594,33.210065451,33.538987815,32.650295214,32.562148097,35.191040827,37.344654719,35.696294106,34.611640206,32.950841052,33.446431405
"micro-benchmarks/bm_socket_transfer_1mb.rb",10000,0.321736079,0.328753058,0.325397308,0.323640579,0.332895999,0.331137141,0.319853626,0.331949,0.311406268,0.341316071,0.315476858,0.33907133
"micro-benchmarks/bm_socket_transfer_1mb.rb",1000000,0.332014449,0.331379285,0.326907362,0.322833556,0.333482088,0.330619962,0.316503377,0.326813593,0.312480673,0.346103357,0.319812822,0.342030937
"micro-benchmarks/bm_socket_transfer_1mb_noblock.rb",10000,0.327684565,0.331451674,0.323500621,0.328340168,0.329953239,0.343619984,0.324381393,0.320549419,0.315680311,0.316576551,0.314743595,0.31933515
"micro-benchmarks/bm_socket_transfer_1mb_noblock.rb",1000000,0.335434412,0.334512325,0.323367598,0.325392183,0.331509514,0.342239615,0.319721462,0.321291395,0.323256749,0.317330264,0.311684056,0.315491928
"micro-benchmarks/bm_spectral_norm.rb",100,0.509339911,0.491959976,0.481708679,0.489277994,0.49385721,0.489530909,0.452528737,0.460570945,0.504633313,0.4875708,0.475997257,0.474949916
"micro-benchmarks/bm_string_concat.rb",10000000,5.459840791,5.475495643,4.851306205,4.822298504,4.787898787,4.766544916,4.929439799,4.937260208,4.918282276,4.966160985,4.939928774,4.934090753
"micro-benchmarks/bm_sum_file.rb",100,11.668192461,11.699264358,12.272888862,11.703193885,11.181401398,11.263616132,11.223222696,10.866398284,10.85607578,11.288894002,10.892357548,10.915554846
"micro-benchmarks/bm_word_anagrams.rb",1,11.790624706,11.900628228,12.018152159,12.05022206,11.508695196,11.594832509,11.444272299,11.389890852,11.434492926,11.765040145,11.588821044,11.458328949
"micro-benchmarks/bm_write_large.rb",100,1.074173206,1.055862179,1.090528486,1.079020094,1.062434867,1.065455996,1.063041669,1.064678429,1.064627911,1.089032059,1.321552722,1.103703182
